Question,Option1,Option2,Option3,Option4,Answer
What is a set?,An ordered list,A collection of distinct elements,A function,A graph,2
What symbol represents union of sets?,∩,∪,⊆,∈,2
What symbol represents intersection of sets?,∪,∩,∅,⊇,2
What is an empty set?,A set with one element,A set with all elements,A set with no elements,An infinite set,3
What does A ⊆ B mean?,A is greater than B,A is a subset of B,A equals B,A intersects B,2
What is the universal set?,An empty set,A set containing all elements under consideration,A set with one element,A subset,2
What is the complement of a set A?,Elements in A,Elements not in A,Elements in A and B,Empty set,2
What is a power set of {1,2}?,{1},{2},{},{},{},{1},{2},{1,2},Only {1,2},3
What does |A| denote?,Sum of elements,Number of elements in set A,Union of sets,Intersection,2
What is A ∩ B if A={1,2} and B={2,3}?,{1,2,3},{1},{2},{3},3
